date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Administered_Fed_LTC,Administered_Fed_LTC_Residents,Administered_Fed_LTC_Staff,Administered_Fed_LTC_Unk,Administered_Fed_LTC_Dose1,Administered_Fed_LTC_Dose1_Residents,Administered_Fed_LTC_Dose1_Staff,Administered_Fed_LTC_Dose1_Unk,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Series_Complete_FedLTC,Series_Complete_FedLTC_Residents,Series_Complete_FedLTC_Staff,Series_Complete_FedLTC_Unknown
1/21/20,30,US,399090105,21484400,164633380,212952975,19350,120209,140750,154530,729644,344928514,344578064,325896496,92191119,13371560,138692320,192560134,304500,7902421,3680988,2712307,1509126,4669784,2069084,1561894,1038806,103895,121525,126189,168550,344928514,190509183,57.4,190285776,67.1,179727428,69.6,49116130,89.8,164184080,49.5,164054393,57.9,155898391,60.4,43750567,80,13195772,63322317,87580002,85989,13193044,63318620,87456783,85945,13104479,62941258,79767827,84827,2103601,20840709,20768781,37476,3202658,1586247,1131532,484879
1/22/20,30,US,397464625,21484400,164366000,211594875,19350,119720,140177,153901,726672,344071595,343721448,325203395,92109611,13329001,138456874,191983572,302148,7901590,3680788,2712038,1508764,4669148,2068957,1561739,1038452,103637,121223,125921,168401,344071595,189945907,57.2,189722711,66.9,179262400,69.4,49058179,89.7,163868916,49.4,163739324,57.7,155641230,60.3,43713360,79.9,13154242,63240978,87388444,85252,13151521,63237285,87265310,85208,13063918,62862945,79630251,84116,2098086,20827015,20751101,37157,3202409,1586144,1131414,484851
1/23/20,30,US,395974515,21484400,163578340,210892425,19350,119271,139651,153324,723947,343361524,343011635,324626310,92037324,13293282,138257663,191510953,299626,7900576,3680378,2711729,1508469,4668375,2068656,1561527,1038192,103423,120972,125698,168269,343361524,189494180,57.1,189271132,66.8,178887734,69.3,49008552,89.6,163588042,49.3,163458560,57.6,155409480,60.2,43678577,79.9,13119224,63163073,87221306,84439,13116508,63159387,87098267,84398,13029807,62787886,79508457,83329,2093367,20813405,20735008,36797,3202127,1586023,1131314,484790
1/24/20,30,US,395460845,21484400,163359420,210597675,19350,119116,139470,153125,723008,342607540,342257939,324010974,91961439,13257878,138031642,191021446,296574,7899824,3680037,2711404,1508383,4667902,2068457,1561339,1038106,103196,120706,125459,168130,342607540,188996475,56.9,188773621,66.6,178478720,69.1,48958631,89.5,163312474,49.2,163183082,57.6,155178182,60.1,43644066,79.8,13084812,63076602,87067620,83440,13082105,63072922,86944651,83403,12996034,62703693,79396085,82369,2089039,20797868,20720796,36363,3201807,1585855,1131172,484780
1/25/20,30,US,394949575,21484400,163094300,210351525,19350,118962,139290,152927,722074,342212051,341862521,323689576,91930181,13242865,137928681,190744361,296144,7899122,3680011,2711355,1507756,4667320,2068435,1561308,1037577,103077,120567,125335,168073,342212051,188729282,56.8,188506474,66.5,178257094,69,48935121,89.5,163173366,49.1,163044001,57.5,155064118,60,43630715,79.8,13070079,63041487,86978495,83305,13067374,63037809,86855550,83268,12981732,62670091,79330057,82238,2087407,20793348,20713662,36298,3201664,1585844,1131154,484666
1/26/20,30,US,394948975,21484400,163093700,210351525,19350,118962,139289,152927,722073,341818968,341469506,323371522,91901960,13228307,137826515,190468171,295975,7899061,3679992,2711313,1507756,4667280,2068423,1561280,1037577,102959,120428,125212,168021,341818968,188472188,56.8,188249431,66.4,178091486,69,48953751,89.5,163025726,49.1,162896382,57.4,154944372,60,43641817,79.8,13055693,63005829,86880949,83255,13052989,63002154,86758019,83219,12967828,62636159,79258193,82192,2087725,20798894,20718911,36287,3201642,1585837,1131139,484666
1/27/20,29,US,394936815,21484400,163081540,210351525,19350,118958,139285,152922,722050,341039972,340690652,322737469,91821035,13191298,137610667,189943803,294204,7897367,3679100,2710511,1507756,4666324,2067884,1560863,1037577,102724,120154,124966,167873,341039972,187982826,56.6,187760175,66.2,177679626,68.8,48895713,89.4,162725812,49,162596504,57.3,154699914,59.9,43603269,79.7,13019885,62933324,86689915,82688,13017186,62929651,86567014,82652,12933243,62568420,79116604,81647,2083165,20787092,20696955,36056,3200883,1585474,1130743,484666
1/28/20,29,US,393929955,21484400,162657880,209768325,19350,118655,138930,152532,720209,340363922,340014810,322191163,91747077,13158442,137451139,189462460,291881,7895457,3678270,2709915,1507272,4664956,2067343,1560520,1037093,102520,119915,124755,167738,340363922,187579557,56.5,187357034,66.1,177353128,68.7,48855811,89.3,162435276,48.9,162306039,57.2,154461507,59.8,43570031,79.7,12987754,62870544,86495061,81917,12985060,62866872,86372225,81881,12901146,62505714,78973748,80899,2079508,20775578,20679229,35715,3200288,1585173,1130480,484635
1/29/20,29,US,391998625,21484400,162084200,208410675,19350,118073,138249,151785,716678,339763765,339414885,321713678,91682929,13126443,137291239,189056672,289411,7908564,3682833,2712226,1513505,4666182,2067314,1560449,1038419,102340,119704,124570,167621,339763765,187216168,56.4,186993779,65.9,177054610,68.6,48813910,89.2,162174165,48.8,162045023,57.1,154251871,59.7,43538637,79.6,12956474,62805275,86331314,81102,12953783,62801604,86208570,81066,12870611,62443073,78858085,80102,2075402,20764067,20663837,35329,3203983,1586426,1131124,486433
1/30/20,29,US,391248955,21484400,161419580,208325625,19350,117847,137984,151494,715308,339102867,338754213,321186188,91612664,13092976,137121107,188601917,286867,7907929,3682614,2711971,1513344,4665741,2067164,1560310,1038267,102141,119471,124366,167492,339102867,186819440,56.3,186597197,65.8,176729812,68.4,48767745,89.2,161895045,48.8,161765990,57.1,154028105,59.6,43507032,79.5,12924213,62738912,86151619,80301,12921530,62735248,86028946,80266,12839040,62379073,78730666,79326,2071125,20752452,20648478,34976,3203603,1586326,1131004,486273
