date,cases,deaths,Distributed,Dist_Per_100K,state,s_cases,s_deaths,Distributed,Dist_Per_100K
2020-01-21,1,0,0,0,Maine,0,0,0,0
2020-01-22,1,0,0,0,Maine,0,0,0,0
2020-01-23,1,0,0,0,Maine,0,0,0,0
2020-01-24,2,0,0,0,Maine,0,0,0,0
2020-01-25,3,0,0,0,Maine,0,0,0,0
2020-01-26,5,0,0,0,Maine,0,0,0,0
2020-01-27,5,0,0,0,Maine,0,0,0,0
2020-01-28,5,0,0,0,Maine,0,0,0,0
2020-01-29,5,0,0,0,Maine,0,0,0,0
2020-01-30,6,0,0,0,Maine,0,0,0,0
2020-01-31,7,0,0,0,Maine,0,0,0,0
2020-02-01,8,0,0,0,Maine,0,0,0,0
2020-02-02,11,0,0,0,Maine,0,0,0,0
2020-02-03,11,0,0,0,Maine,0,0,0,0
2020-02-04,11,0,0,0,Maine,0,0,0,0
2020-02-05,12,0,0,0,Maine,0,0,0,0
2020-02-06,12,0,0,0,Maine,0,0,0,0
2020-02-07,12,0,0,0,Maine,0,0,0,0
2020-02-08,12,0,0,0,Maine,0,0,0,0
2020-02-09,12,0,0,0,Maine,0,0,0,0
2020-02-10,13,0,0,0,Maine,0,0,0,0
2020-02-11,13,0,0,0,Maine,0,0,0,0
2020-02-12,14,0,0,0,Maine,0,0,0,0
2020-02-13,15,0,0,0,Maine,0,0,0,0
2020-02-14,15,0,0,0,Maine,0,0,0,0
2020-02-15,15,0,0,0,Maine,0,0,0,0
2020-02-16,15,0,0,0,Maine,0,0,0,0
2020-02-17,25,0,0,0,Maine,0,0,0,0
2020-02-18,25,0,0,0,Maine,0,0,0,0
2020-02-19,25,0,0,0,Maine,0,0,0,0
2020-02-20,27,0,0,0,Maine,0,0,0,0
2020-02-21,30,0,0,0,Maine,0,0,0,0
2020-02-22,30,0,0,0,Maine,0,0,0,0
2020-02-23,30,0,0,0,Maine,0,0,0,0
2020-02-24,43,0,0,0,Maine,0,0,0,0
2020-02-25,45,0,0,0,Maine,0,0,0,0
2020-02-26,60,0,0,0,Maine,0,0,0,0
2020-02-27,60,0,0,0,Maine,0,0,0,0
2020-02-28,65,0,0,0,Maine,0,0,0,0
2020-02-29,70,1,0,0,Maine,0,0,0,0
2020-03-01,88,3,0,0,Maine,0,0,0,0
2020-03-02,104,6,0,0,Maine,0,0,0,0
2020-03-03,125,10,0,0,Maine,0,0,0,0
2020-03-04,161,12,0,0,Maine,0,0,0,0
2020-03-05,228,12,0,0,Maine,0,0,0,0
2020-03-06,311,15,0,0,Maine,0,0,0,0
2020-03-07,428,19,0,0,Maine,0,0,0,0
2020-03-08,547,22,0,0,Maine,0,0,0,0
2020-03-09,748,26,0,0,Maine,0,0,0,0
2020-03-10,1018,31,0,0,Maine,0,0,0,0
2020-03-11,1263,37,0,0,Maine,0,0,0,0
2020-03-12,1668,43,0,0,Maine,1,0,0,0
2020-03-13,2224,50,0,0,Maine,2,0,0,0
2020-03-14,2898,60,0,0,Maine,3,0,0,0
2020-03-15,3600,68,0,0,Maine,12,0,0,0
2020-03-16,4507,91,0,0,Maine,17,0,0,0
2020-03-17,5906,117,0,0,Maine,32,0,0,0
2020-03-18,8350,162,0,0,Maine,43,0,0,0
2020-03-19,12393,212,0,0,Maine,52,0,0,0
2020-03-20,18012,277,0,0,Maine,57,0,0,0
2020-03-21,24528,360,0,0,Maine,70,0,0,0
2020-03-22,33073,458,0,0,Maine,89,0,0,0
2020-03-23,43505,579,0,0,Maine,107,0,0,0
2020-03-24,53938,785,0,0,Maine,118,0,0,0
2020-03-25,68572,1054,0,0,Maine,142,0,0,0
2020-03-26,85570,1353,0,0,Maine,155,0,0,0
2020-03-27,102900,1770,0,0,Maine,168,1,0,0
2020-03-28,123966,2300,0,0,Maine,211,1,0,0
2020-03-29,142486,2718,0,0,Maine,253,3,0,0
2020-03-30,163955,3368,0,0,Maine,275,3,0,0
2020-03-31,188461,4304,0,0,Maine,303,5,0,0
2020-04-01,215391,5325,0,0,Maine,344,7,0,0
2020-04-02,245108,6541,0,0,Maine,376,7,0,0
2020-04-03,277426,7932,0,0,Maine,432,9,0,0
2020-04-04,312525,9488,0,0,Maine,456,10,0,0
2020-04-05,338141,10856,0,0,Maine,470,10,0,0
2020-04-06,369057,12382,0,0,Maine,499,10,0,0
2020-04-07,399394,14616,0,0,Maine,519,12,0,0
2020-04-08,431214,16701,0,0,Maine,537,14,0,0
2020-04-09,465913,18821,0,0,Maine,560,16,0,0
2020-04-10,499386,21084,0,0,Maine,586,17,0,0
2020-04-11,531106,23168,0,0,Maine,616,19,0,0
2020-04-12,558249,24849,0,0,Maine,633,19,0,0
2020-04-13,584018,26613,0,0,Maine,698,19,0,0
2020-04-14,610709,29318,0,0,Maine,734,20,0,0
2020-04-15,640742,32070,0,0,Maine,770,24,0,0
2020-04-16,672355,34419,0,0,Maine,796,27,0,0
2020-04-17,703864,36708,0,0,Maine,827,29,0,0
2020-04-18,732262,38659,0,0,Maine,847,32,0,0
2020-04-19,757596,40179,0,0,Maine,867,34,0,0
2020-04-20,784991,42016,0,0,Maine,875,35,0,0
2020-04-21,810505,44688,0,0,Maine,888,36,0,0
2020-04-22,839336,47059,0,0,Maine,907,39,0,0
2020-04-23,873112,49228,0,0,Maine,937,44,0,0
2020-04-24,909853,51360,0,0,Maine,965,47,0,0
2020-04-25,944261,53327,0,0,Maine,990,50,0,0
2020-04-26,970996,54580,0,0,Maine,1015,50,0,0
2020-04-27,994193,56022,0,0,Maine,1023,51,0,0
2020-04-28,1018844,58416,0,0,Maine,1040,51,0,0
2020-04-29,1045399,60930,0,0,Maine,1056,52,0,0
2020-04-30,1075756,63140,0,0,Maine,1095,53,0,0
2020-05-01,1109726,64902,0,0,Maine,1123,55,0,0
2020-05-02,1139200,66485,0,0,Maine,1152,56,0,0
2020-05-03,1165340,67816,0,0,Maine,1185,57,0,0
2020-05-04,1187302,68905,0,0,Maine,1205,57,0,0
2020-05-05,1211011,71139,0,0,Maine,1226,61,0,0
2020-05-06,1235517,73847,0,0,Maine,1254,62,0,0
2020-05-07,1263995,75805,0,0,Maine,1330,62,0,0
2020-05-08,1291643,77380,0,0,Maine,1374,63,0,0
2020-05-09,1316511,78834,0,0,Maine,1408,64,0,0
2020-05-10,1336828,79766,0,0,Maine,1436,64,0,0
2020-05-11,1354449,80748,0,0,Maine,1462,65,0,0
2020-05-12,1376749,82400,0,0,Maine,1477,65,0,0
2020-05-13,1397894,84168,0,0,Maine,1515,66,0,0
2020-05-14,1424856,85906,0,0,Maine,1565,69,0,0
2020-05-15,1451093,87499,0,0,Maine,1603,69,0,0
2020-05-16,1474752,88724,0,0,Maine,1648,70,0,0
2020-05-17,1493766,89568,0,0,Maine,1687,70,0,0
2020-05-18,1515593,90414,0,0,Maine,1713,71,0,0
2020-05-19,1536570,91934,0,0,Maine,1741,73,0,0
2020-05-20,1559640,93411,0,0,Maine,1819,73,0,0
2020-05-21,1585373,94722,0,0,Maine,1877,73,0,0
2020-05-22,1609172,96010,0,0,Maine,1948,75,0,0
2020-05-23,1631440,97060,0,0,Maine,2013,77,0,0
2020-05-24,1651471,97680,0,0,Maine,2055,78,0,0
2020-05-25,1670571,98190,0,0,Maine,2074,78,0,0
2020-05-26,1689467,98937,0,0,Maine,2109,79,0,0
2020-05-27,1708211,100422,0,0,Maine,2137,81,0,0
2020-05-28,1730723,101622,0,0,Maine,2189,84,0,0
2020-05-29,1755271,102812,0,0,Maine,2226,85,0,0
2020-05-30,1778668,103775,0,0,Maine,2282,89,0,0
2020-05-31,1799302,104379,0,0,Maine,2325,89,0,0
2020-06-01,1821199,105113,0,0,Maine,2349,89,0,0
2020-06-02,1841990,106195,0,0,Maine,2377,94,0,0
2020-06-03,1861977,107184,0,0,Maine,2418,95,0,0
2020-06-04,1883593,108192,0,0,Maine,2446,95,0,0
2020-06-05,1912302,109304,0,0,Maine,2482,98,0,0
2020-06-06,1934818,110032,0,0,Maine,2524,98,0,0
2020-06-07,1953434,110422,0,0,Maine,2570,99,0,0
2020-06-08,1971641,111144,0,0,Maine,2588,99,0,0
2020-06-09,1990446,112174,0,0,Maine,2606,100,0,0
2020-06-10,2013298,113103,0,0,Maine,2637,100,0,0
2020-06-11,2036500,113980,0,0,Maine,2667,100,0,0
2020-06-12,2061993,114759,0,0,Maine,2721,100,0,0
2020-06-13,2087327,115451,0,0,Maine,2757,100,0,0
2020-06-14,2106457,115768,0,0,Maine,2793,100,0,0
2020-06-15,2126574,116216,0,0,Maine,2810,101,0,0
2020-06-16,2151459,116985,0,0,Maine,2819,101,0,0
2020-06-17,2177114,117746,0,0,Maine,2836,102,0,0
2020-06-18,2205173,118473,0,0,Maine,2878,102,0,0
2020-06-19,2236009,119171,0,0,Maine,2913,102,0,0
2020-06-20,2268034,119717,0,0,Maine,2938,102,0,0
2020-06-21,2294413,119974,0,0,Maine,2957,102,0,0
2020-06-22,2324879,120334,0,0,Maine,2971,102,0,0
2020-06-23,2359939,121167,0,0,Maine,2994,102,0,0
2020-06-24,2396928,121934,0,0,Maine,3017,103,0,0
2020-06-25,2438101,124400,0,0,Maine,3070,103,0,0
2020-06-26,2483629,125033,0,0,Maine,3102,103,0,0
2020-06-27,2525928,125544,0,0,Maine,3154,104,0,0
2020-06-28,2565436,125815,0,0,Maine,3191,104,0,0
2020-06-29,2604932,126162,0,0,Maine,3219,105,0,0
2020-06-30,2653321,127462,0,0,Maine,3253,105,0,0
2020-07-01,2703296,128104,0,0,Maine,3294,105,0,0
2020-07-02,2758855,128827,0,0,Maine,3328,105,0,0
2020-07-03,2816009,129418,0,0,Maine,3373,105,0,0
2020-07-04,2866015,129679,0,0,Maine,3397,107,0,0
2020-07-05,2910782,129941,0,0,Maine,3415,109,0,0
2020-07-06,2958098,130332,0,0,Maine,3423,109,0,0
2020-07-07,3012182,131290,0,0,Maine,3440,110,0,0
2020-07-08,3071637,132238,0,0,Maine,3460,110,0,0
2020-07-09,3131526,133079,0,0,Maine,3486,111,0,0
2020-07-10,3199753,133907,0,0,Maine,3499,111,0,0
2020-07-11,3260474,134582,0,0,Maine,3520,112,0,0
2020-07-12,3318279,134977,0,0,Maine,3539,114,0,0
